feature,log_odds_coef,odds_ratio
is_airport_trip,1.0041731894896297,2.729649436709338
borough_Unknown,0.9659371379848593,2.6272485976302593
congestion_surcharge,0.756118204745511,2.129991959316674
hour_Daytime,0.579413468346742,1.784991169832365
hour_Evening Commute,0.5738367284306798,1.7750644434381773
borough_Queens,0.5448284701610707,1.7243125859480724
hour_Nightlife,0.48800488320958957,1.6290628050082627
borough_Brooklyn,0.3757547110065417,1.4560899271308376
borough_Manhattan,0.3258906922957214,1.3852639405756313
borough_Staten Island,0.24792891271249562,1.2813688399211856
