model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.457860844778811,1.328916038221975,-0.0001140346311210294,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.9695,0.9845138359989846,0.9695,1.0,0.9695
