model,roc_auc,avg_precision,f1,precision,recall,accuracy,fit_seconds
optimized_random_forest_classifier,0.6494952037132543,0.9803217353460518,0.9845138359989846,0.9695,1.0,0.9695,16.22178470005747
simple_logistic_regression,0.6405323819105674,0.9788083255743353,0.9844516436978886,0.9695151224195871,0.9998555956678701,0.96938,1.3195656000170857
naive_majority_tip_classifier,0.5,0.9695,0.9845138359989846,0.9695,1.0,0.9695,0.0
