feature,coef,abs_coef
borough_Unknown,2.276988234780474,2.276988234780474
borough_Brooklyn,2.21033515597414,2.21033515597414
borough_Manhattan,2.1581766527400035,2.1581766527400035
borough_Queens,1.9769880259668864,1.9769880259668864
is_airport_trip,0.735194969308442,0.735194969308442
month_April,0.18949247237008762,0.18949247237008762
tolls_amount,0.18137811264495518,0.18137811264495518
month_May,0.18084287097026458,0.18084287097026458
fare_amount,0.1752640264136745,0.1752640264136745
congestion_surcharge,0.17430752042825315,0.17430752042825315
month_June,0.16111234525065599,0.16111234525065599
hour_Daytime,-0.11963055872695277,0.11963055872695277
month_August,0.11347745227005544,0.11347745227005544
month_July,0.10876562823736728,0.10876562823736728
month_December,0.08542750201521371,0.08542750201521371
month_September,0.06114765743372466,0.06114765743372466
weekend,-0.04722742914858419,0.04722742914858419
month_October,0.03985373370551343,0.03985373370551343
hour_Airport Rush,-0.031752866689451056,0.031752866689451056
month_November,0.02890152561147694,0.02890152561147694
hour_Evening Commute,-0.013387968907109164,0.013387968907109164
rate_code,0.012167485140831838,0.012167485140831838
hour_Nightlife,0.009603807666413921,0.009603807666413921
month_February,0.006231150864929913,0.006231150864929913
month_March,0.00419583992968086,0.00419583992968086
speed_mph,-0.0032697981446165618,0.0032697981446165618
extra,-0.0031246200611425483,0.0031246200611425483
passenger_count,-4.5679497550896284e-05,4.5679497550896284e-05
