feature,log_odds_coef,odds_ratio
month_April,-0.9908060715856549,0.3712772942933302
month_May,-0.9630165879028807,0.38173959630157817
month_July,-0.7811218480071169,0.45789203778897763
month_June,-0.7019462829458917,0.4956197482104352
month_August,-0.6331655000319191,0.5309085472193406
month_September,-0.48288129747107944,0.6170030588502805
month_December,-0.46771464410451596,0.6264322542923066
month_October,-0.37272977515282674,0.6888513524471928
month_November,-0.37078621973913756,0.6901914751019398
hour_Airport Rush,-0.24599097895320834,0.781929278714272
