feature,importance
congestion_surcharge,0.3031204712364464
trip_distance,0.11460631585622341
speed_mph,0.10419897966969248
duration_min,0.10392763425001483
fare_amount,0.08566219601328817
extra,0.028582552658315986
borough_Manhattan,0.026070012793327012
is_airport_trip,0.025456780930108194
passenger_count,0.021845984970894867
hour_Airport Rush,0.014806658792623398
month_February,0.01410428003666343
borough_Queens,0.0139375350605322
weekend,0.011777034206123492
month_July,0.011336149646080991
hour_Daytime,0.010673147212981212
borough_Brooklyn,0.009971304261669827
month_May,0.009918732573810622
tolls_amount,0.009204351581580823
hour_Nightlife,0.009199491531736784
hour_Evening Commute,0.009108078927048516
month_August,0.008657060425250081
month_March,0.007244455466688087
borough_Unknown,0.007200497202095629
month_June,0.00691543629606516
month_September,0.00671919453843483
month_November,0.006028450444275431
month_December,0.0058558003240816526
rate_code,0.004856295089505363
month_October,0.004694020158146578
month_April,0.004170178456333642
borough_Staten Island,0.000127781441339546
mta_tax,2.3137948621228294e-05
improvement_surcharge,0.0
borough_EWR,0.0
