feature,importance
trip_distance,0.17725173685986484
speed_mph,0.17224651155159304
duration_min,0.1619996611241808
fare_amount,0.11078223481285648
passenger_count,0.04871598705786755
hour_Airport Rush,0.03658231599299984
weekend,0.03176888818862422
extra,0.029306058986426586
tolls_amount,0.02000509066905327
hour_Nightlife,0.019004433799438405
borough_Queens,0.018724052037358562
borough_Manhattan,0.017400286100300102
is_airport_trip,0.017286697332272526
hour_Evening Commute,0.01535721601365865
hour_Daytime,0.01351987577059389
month_October,0.010272649730133594
month_March,0.010039830833213885
month_August,0.009367563708298542
month_February,0.008476329615697345
month_May,0.008390664439296867
month_December,0.00823583250077166
month_April,0.008185236545433615
month_June,0.00786409881203255
month_July,0.007555712738060326
month_November,0.007428397397732501
month_September,0.007382212220047425
borough_Brooklyn,0.006240435991127753
borough_Unknown,0.005403926529081533
rate_code,0.005206062641983696
improvement_surcharge,0.0
mta_tax,0.0
borough_Staten Island,0.0
