model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.2596823636407146,1.4082804666622029,-1.0839705566478841e-06,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.95904,0.9790918000653381,0.95904,1.0,0.95904
