feature,log_odds_coef,odds_ratio
hour_Airport Rush,-0.28270705391392864,0.7537405608680636
weekend,-0.17284572164961992,0.8412673941790975
month_August,-0.14220908759783113,0.8674398666054162
month_October,-0.1348040554770832,0.8738871283094467
month_September,-0.07949967037111078,0.9235783244066534
passenger_count,-0.06408125305262083,0.9379287868574421
extra,-0.06043540892965048,0.941354570154044
month_July,-0.04560842223449191,0.9554160086175882
fare_amount,-0.03850909401045317,0.9622229542344249
month_December,-0.03244093868652082,0.9680796241970504
