feature,log_odds_coef,odds_ratio
is_airport_trip,0.8845981145633418,2.4220108249895635
borough_Unknown,0.8643039661354668,2.3733535764808
borough_Manhattan,0.8488636152698407,2.3369896230725993
hour_Evening Commute,0.47878122834234726,1.6141059762893524
hour_Nightlife,0.45167803754947444,1.570946081496874
borough_Brooklyn,0.4458180159789991,1.5617672239914389
hour_Daytime,0.3905656570113303,1.4778164947620502
rate_code,0.20501705635995196,1.2275460022510922
borough_Queens,0.06970050531114683,1.0721870188457976
month_March,0.05047938099997596,1.051775176579033
