feature,coef,abs_coef
is_airport_trip,0.543499912376393,0.543499912376393
borough_Queens,-0.5409465574020336,0.5409465574020336
borough_Manhattan,-0.4244391738471946,0.4244391738471946
borough_Unknown,-0.396713895676967,0.396713895676967
borough_Brooklyn,-0.25697293539065563,0.25697293539065563
tolls_amount,0.20245463232361277,0.20245463232361277
fare_amount,0.17484618050180514,0.17484618050180514
extra,0.1411669798493608,0.1411669798493608
rate_code,-0.11124639367986358,0.11124639367986358
month_April,0.035490300763221364,0.035490300763221364
month_December,0.033540627490125555,0.033540627490125555
weekend,-0.032492550141749475,0.032492550141749475
hour_Daytime,-0.030656286206785274,0.030656286206785274
month_October,0.024150881036860965,0.024150881036860965
month_June,-0.017507373853385137,0.017507373853385137
hour_Airport Rush,-0.010380397893148314,0.010380397893148314
month_September,-0.009957228223517692,0.009957228223517692
month_November,0.009551716372880695,0.009551716372880695
month_February,-0.008445646206472925,0.008445646206472925
hour_Nightlife,-0.007727681634885272,0.007727681634885272
passenger_count,0.006369589032516068,0.006369589032516068
month_March,0.006299585679541327,0.006299585679541327
duration_min,0.004700289090976887,0.004700289090976887
month_July,0.0015303686182113045,0.0015303686182113045
month_May,0.001155990302724854,0.001155990302724854
hour_Evening Commute,0.0008387756779194773,0.0008387756779194773
speed_mph,0.0004235001814334613,0.0004235001814334613
month_August,-0.000151666725109306,0.000151666725109306
