cluster,pickup_zone_name,count,rank,cluster_total,pct_within_cluster,pct_top_n_share
0,Upper East Side South,18391,1,385852,4.766335278811565,12.663535957253421
0,Upper East Side North,17525,2,385852,4.541896893109275,12.067232214173575
0,Midtown Center,16947,3,385852,4.392098524822989,11.669237337152614
0,Lincoln Square East,14209,4,385852,3.6825000259166725,9.783925964690004
0,Times Sq/Theatre District,14196,5,385852,3.6791308584638673,9.77497452281929
0,Clinton East,13150,6,385852,3.4080424618765743,9.054727738452641
0,East Village,13031,7,385852,3.3772016213470453,8.972787616713031
0,Upper West Side South,13025,8,385852,3.3756466209842113,8.968656182003471
0,Midtown East,12646,9,385852,3.2774224313985676,8.70768722284959
0,Murray Hill,12108,10,385852,3.1379907321978373,8.337235243892364
1,Upper East Side South,222117,1,4057815,5.473807948366301,14.095560714154262
1,Upper East Side North,198528,2,4057815,4.8924852414415145,12.598601086182585
1,Midtown Center,176450,3,4057815,4.348399323281125,11.197529626334408
1,Lincoln Square East,152126,4,4057815,3.748963419968628,9.653926845767911
1,Midtown East,151569,5,4057815,3.7352368208013424,9.618579585910341
1,Penn Station/Madison Sq West,147860,6,4057815,3.643832949506077,9.38320618050329
1,Murray Hill,141390,7,4057815,3.484387533685,8.972619517525768
1,Upper West Side South,131179,8,4057815,3.232749644821166,8.324628726851351
1,Clinton East,128679,9,4057815,3.171140133298339,8.16597854795741
1,Union Sq,125896,10,4057815,3.102556425071128,7.989369168812675
2,JFK Airport,117894,1,349177,33.76339220509942,42.15573744113451
2,LaGuardia Airport,96206,2,349177,27.55221563848707,34.40068940117212
2,Unknown,14968,3,349177,4.286651182638032,5.35215598774239
2,East Elmhurst,12458,4,349177,3.5678180407071483,4.454647200380458
2,Times Sq/Theatre District,10176,5,349177,2.914281295732537,3.6386651076474186
2,Midtown Center,7515,6,349177,2.152203610203421,2.687162763754948
2,Midtown East,5862,7,349177,1.6788047322704531,2.0960942276954766
2,Murray Hill,5638,8,349177,1.6146538861379758,2.01599782595481
2,Midtown South,4556,9,349177,1.304782388301635,1.6291035996896266
2,Clinton East,4390,10,349177,1.2572420291141742,1.5697464448282399
3,JFK Airport,90959,1,207156,43.908455463515416,58.06548398010839
3,LaGuardia Airport,40830,2,207156,19.70978393095059,26.064641331894872
3,Unknown,5865,3,207156,2.831199675606789,3.7440392214441203
3,East Elmhurst,3381,4,207156,1.6321033424086195,2.1583284923619046
3,Midtown North,2822,5,207156,1.3622583946397884,1.8014797413325332
3,Times Sq/Theatre District,2803,6,207156,1.3530865627836028,1.789350714016687
3,Clinton East,2631,7,207156,1.2700573480855009,1.6795510983153419
3,TriBeCa/Civic Center,2521,8,207156,1.2169572689181098,1.6093304138551794
3,Lincoln Square East,2501,9,207156,1.2073027090694937,1.5965630166806042
3,East Village,2336,10,207156,1.1276525903184074,1.4912319899903608
