cluster,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,Unknown
0,0.01,0.38,0.0,98.09,0.74,0.0,0.77
1,0.01,0.34,0.0,98.46,0.38,0.0,0.81
2,0.02,0.08,0.0,30.24,65.37,0.0,4.29
3,0.06,0.75,0.0,30.58,65.78,0.0,2.83
