cluster,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
0,Upper East Side South,Upper East Side North,Midtown Center,Lincoln Square East,Times Sq/Theatre District,Clinton East,East Village,Upper West Side South,Midtown East,Murray Hill
1,Upper East Side South,Upper East Side North,Midtown Center,Lincoln Square East,Midtown East,Penn Station/Madison Sq West,Murray Hill,Upper West Side South,Clinton East,Union Sq
2,JFK Airport,LaGuardia Airport,Unknown,East Elmhurst,Times Sq/Theatre District,Midtown Center,Midtown East,Murray Hill,Midtown South,Clinton East
3,JFK Airport,LaGuardia Airport,Unknown,East Elmhurst,Midtown North,Times Sq/Theatre District,Clinton East,TriBeCa/Civic Center,Lincoln Square East,East Village
