cluster,fare_amount,tolls_amount,passenger_count,trip_distance,duration_min,speed_mph,tip_rate_pct,is_airport_trip_num
0,11.0172,0.0284,4.0663,2.244,13.0909,10.6018,26.4131,0.0041
1,10.5958,0.0142,1.1616,2.1258,12.6579,10.4643,26.6715,0.0017
2,41.5305,6.5486,1.4856,14.0042,38.3797,23.6394,23.5143,0.8591
3,38.4467,0.0313,1.3681,12.5998,34.9835,23.5589,19.3924,0.7325
