cluster,hour_Late Night,hour_Airport Rush,hour_Daytime,hour_Evening Commute,hour_Nightlife,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weekend,rush_hour,night_trip
0,7.06,1.66,34.83,33.77,22.68,15.59,11.37,18.79,13.83,14.07,12.8,13.54,9.52,8.01,8.72,7.94,6.38,8.34,8.99,9.2,8.82,7.86,8.81,7.4,32.62,29.52,19.03
1,5.87,1.56,38.91,33.28,20.38,15.24,12.48,14.59,11.22,15.93,14.99,15.55,9.09,7.72,8.34,7.91,6.44,7.76,8.92,9.39,8.95,8.24,9.3,7.94,25.82,31.78,16.38
2,3.57,2.63,44.45,31.45,17.9,15.23,15.49,11.29,14.71,14.99,14.28,14.01,8.92,8.2,9.16,5.56,4.39,7.95,9.14,8.76,9.74,9.0,10.18,9.0,26.0,31.18,14.54
3,9.21,3.31,31.49,28.06,27.94,14.19,15.07,13.08,16.46,13.93,13.99,13.27,8.45,8.59,9.57,6.16,5.78,8.44,8.81,8.36,9.46,8.33,9.39,8.65,29.54,25.48,27.24
