model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.493545166599008,1.4830468731161885,-4.259618599777859e-05,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.96656,0.9829956879017167,0.96656,1.0,0.96656
