feature,importance
congestion_surcharge,0.1871247427175882
trip_distance,0.14146040885609687
duration_min,0.11885365228536227
speed_mph,0.11430197415533255
fare_amount,0.11374884234665852
extra,0.0447103031099422
is_airport_trip,0.026496102799203735
passenger_count,0.02517294345612091
borough_Manhattan,0.019479943258306907
hour_Airport Rush,0.017378604936463732
weekend,0.017138101816758688
tolls_amount,0.01571284631819022
borough_Queens,0.014845029501343497
hour_Daytime,0.013228050388468469
airport_fee,0.011568139030957684
hour_Evening Commute,0.011493443161722657
month_November,0.010603823514013755
hour_Nightlife,0.009086708724969332
month_May,0.007851365310923657
month_August,0.007717478335041022
borough_Unknown,0.007603374636830058
month_December,0.00733743924001709
month_October,0.00687683343366055
month_September,0.006791438436443926
month_June,0.0065658587027189
borough_Staten Island,0.00571072239697633
month_July,0.005654193440346409
rate_code,0.005472923493196732
month_February,0.005133458117690097
borough_Brooklyn,0.005107410725249198
month_March,0.004863248906516351
month_April,0.0046879291308364055
mta_tax,0.00022266531605317634
improvement_surcharge,0.0
