feature,log_odds_coef,odds_ratio
borough_Unknown,1.199894649082728,3.319767163797323
is_airport_trip,1.1212713533564596,3.0687531939436687
congestion_surcharge,0.653440628070753,1.9221428435863626
hour_Evening Commute,0.5126708458253385,1.6697448758819515
hour_Daytime,0.4965139094075643,1.6429836856700457
mta_tax,0.4441858926319033,1.559220306249767
hour_Nightlife,0.3728952122542177,1.4519321871601254
borough_Queens,0.34594869542375345,1.4133301036555255
month_November,0.31597177696062523,1.3715915445976046
borough_Manhattan,0.29939500124579604,1.349042391669274
