feature,coef,abs_coef
borough_Brooklyn,0.8001754716269909,0.8001754716269909
is_airport_trip,0.5052062915787148,0.5052062915787148
borough_Unknown,0.44072791372150355,0.44072791372150355
borough_Manhattan,0.28536929369079844,0.28536929369079844
tolls_amount,0.19488937314720367,0.19488937314720367
fare_amount,0.1811628819730825,0.1811628819730825
borough_Queens,0.1631436875876626,0.1631436875876626
congestion_surcharge,0.14215056874739557,0.14215056874739557
rate_code,-0.14189056041951273,0.14189056041951273
airport_fee,0.11218131191043587,0.11218131191043587
hour_Daytime,-0.09206787527830838,0.09206787527830838
month_December,0.06224728193708494,0.06224728193708494
weekend,-0.04884829076250286,0.04884829076250286
mta_tax,0.03602792218377262,0.03602792218377262
hour_Airport Rush,-0.029685536281931,0.029685536281931
hour_Evening Commute,-0.022725081695334465,0.022725081695334465
month_April,-0.02249576007520829,0.02249576007520829
month_May,-0.019640233860586255,0.019640233860586255
hour_Nightlife,-0.018761575313078836,0.018761575313078836
month_February,0.013464097848953105,0.013464097848953105
month_October,-0.0112267630111521,0.0112267630111521
month_June,-0.009103871811940245,0.009103871811940245
month_November,-0.008554532354406704,0.008554532354406704
month_July,-0.007315950854529219,0.007315950854529219
month_September,-0.006568458382580859,0.006568458382580859
month_March,-0.0048521498896337365,0.0048521498896337365
speed_mph,-0.004240649933506067,0.004240649933506067
passenger_count,0.004013692175867166,0.004013692175867166
extra,0.0026173362465134785,0.0026173362465134785
month_August,0.000490392308544235,0.000490392308544235
