feature,log_odds_coef,odds_ratio
hour_Airport Rush,-0.3567340384254828,0.699958635081506
borough_Staten Island,-0.33820539713813597,0.7130488146703218
weekend,-0.14455959388851272,0.8654033381163158
extra,-0.11785719838774861,0.888822968905442
tolls_amount,-0.07135050142637643,0.9311354706147308
fare_amount,-0.03220133253235669,0.9683116098242109
passenger_count,-0.016095491658845305,0.9840333485917949
speed_mph,0.008744262195501886,1.0087826049343422
month_March,0.023648891840636326,1.0239307443307522
month_August,0.039002960014739775,1.0397735613906705
