feature,log_odds_coef,odds_ratio
hour_Airport Rush,-0.26759358156354746,0.7652187169080322
month_September,-0.20241274561584902,0.8167577451831356
weekend,-0.1637812653024606,0.8489276915151072
month_August,-0.1492374554532436,0.8613645549021838
month_July,-0.12338875601703984,0.8839199665526248
passenger_count,-0.07210573257483505,0.9304325135848228
extra,-0.06937203944265644,0.9329795103247545
month_June,-0.044591882556326755,0.9563877207077731
fare_amount,-0.04455101753253156,0.9564268043133081
month_March,-0.03414872934746635,0.9664277577782956
