model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.263143671628904,1.4050466539314495,-4.6340662418487e-09,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.96228,0.9807774629512608,0.96228,1.0,0.96228
