feature,importance
speed_mph,0.18119803755546032
trip_distance,0.17679643622082297
duration_min,0.16802065377221861
fare_amount,0.11650685321841456
passenger_count,0.0489514824239306
hour_Airport Rush,0.03309368289770357
weekend,0.02740782738090139
extra,0.02682219654210679
borough_Manhattan,0.01993872700398704
is_airport_trip,0.019270405046752963
hour_Nightlife,0.017035997055801257
hour_Evening Commute,0.013878272607585793
borough_Queens,0.013824128264808467
tolls_amount,0.01296261491504951
hour_Daytime,0.012958253295118875
month_September,0.01226857463100612
month_July,0.010187722822062558
borough_Brooklyn,0.009438204887276033
month_August,0.008740686863602699
month_March,0.008598247911901145
month_April,0.008180813606189588
month_May,0.008009587860020616
month_October,0.007758058026108912
month_February,0.007582977625724183
month_November,0.007236347387296017
month_June,0.006896474981577087
month_December,0.006555799383187885
borough_Unknown,0.005326507382242864
rate_code,0.004553206325138586
mta_tax,1.2221060029849497e-06
improvement_surcharge,0.0
borough_Staten Island,0.0
