feature,coef
rate_code,-0.21120344794465998
month_September,-0.02166110387430289
month_May,-0.021143445304520905
weekend,-0.02091203036062441
hour_Airport Rush,-0.01171450884484982
hour_Daytime,-0.010697437018112044
hour_Evening Commute,-0.008123073909322204
month_April,-0.004011201573298871
speed_mph,-0.0006422491494697526
hour_Nightlife,-0.0005446592347338343
