feature,log_odds_coef,odds_ratio,abs_log_odds_coef
borough_Manhattan,0.860369094649018,2.3640330846601243,0.860369094649018
borough_Unknown,0.7872834556722308,2.1974189249419784,0.7872834556722308
is_airport_trip,0.6250294097047504,1.8683009028021913,0.6250294097047504
hour_Evening Commute,0.5182507741053914,1.679087975205524,0.5182507741053914
hour_Nightlife,0.4548835677544448,1.5759898763108773,0.4548835677544448
hour_Daytime,0.44835152658788746,1.5657289942964743,0.44835152658788746
rate_code,0.43772832598862543,1.5491839772187515,0.43772832598862543
borough_Brooklyn,0.4003204681171146,1.4923028565064318,0.4003204681171146
borough_Queens,0.277992050007157,1.320475699395007,0.277992050007157
hour_Airport Rush,-0.26759358156354746,0.7652187169080322,0.26759358156354746
month_September,-0.20241274561584902,0.8167577451831356,0.20241274561584902
weekend,-0.1637812653024606,0.8489276915151072,0.1637812653024606
month_August,-0.1492374554532436,0.8613645549021838,0.1492374554532436
month_July,-0.12338875601703984,0.8839199665526248,0.12338875601703984
month_February,0.078753953310388,1.0819380820344684,0.078753953310388
passenger_count,-0.07210573257483505,0.9304325135848228,0.07210573257483505
extra,-0.06937203944265644,0.9329795103247545,0.06937203944265644
month_May,0.060063100517245296,1.0619035510946653,0.060063100517245296
month_June,-0.044591882556326755,0.9563877207077731,0.044591882556326755
fare_amount,-0.04455101753253156,0.9564268043133081,0.04455101753253156
month_March,-0.03414872934746635,0.9664277577782956,0.03414872934746635
month_April,0.03314036576969474,1.033695624540531,0.03314036576969474
month_December,-0.031212628704924958,0.9692694566543769,0.031212628704924958
month_October,-0.02189010060834136,0.9783477489656869,0.02189010060834136
duration_min,0.020642380500510378,1.0208569080136858,0.020642380500510378
speed_mph,0.019595396484562242,1.019788646472388,0.019595396484562242
tolls_amount,0.015886053592148022,1.0160129077888245,0.015886053592148022
month_November,-0.01065852418871186,0.9893980766080884,0.01065852418871186
