feature,log_odds_coef,odds_ratio
borough_Unknown,0.6664571695241306,1.9473260390777711
mta_tax,0.660498744829503,1.9357575427513056
hour_Evening Commute,0.5607577301917228,1.7519995404110809
hour_Daytime,0.4704633599306465,1.6007357382036134
borough_Brooklyn,0.4462978235320429,1.5625167515017069
congestion_surcharge,0.4397816939001034,1.5523682900506028
hour_Nightlife,0.4170134040106926,1.5174228523509077
borough_Manhattan,0.34209361408553324,1.4078920898757188
airport_fee,0.32807740403704805,1.3882964278787477
borough_Queens,0.19106598352889395,1.2105393251026537
