feature,coef,abs_coef
is_airport_trip,0.5385630397439749,0.5385630397439749
mta_tax,0.5224457298907659,0.5224457298907659
improvement_surcharge,0.3735966979569371,0.3735966979569371
tolls_amount,0.21329013404011543,0.21329013404011543
airport_fee,-0.20105861092737246,0.20105861092737246
fare_amount,0.1839510704638864,0.1839510704638864
congestion_surcharge,0.1221606874128506,0.1221606874128506
hour_Daytime,-0.11336491421862623,0.11336491421862623
borough_Brooklyn,0.10098408608404905,0.10098408608404905
borough_Unknown,0.07987817998072178,0.07987817998072178
borough_Manhattan,-0.07497985964167588,0.07497985964167588
borough_Queens,0.07445523691609651,0.07445523691609651
rate_code,-0.06452860456118195,0.06452860456118195
hour_Airport Rush,0.05206938603018416,0.05206938603018416
month_October,0.05093367186514863,0.05093367186514863
weekend,-0.04243526453431963,0.04243526453431963
month_December,0.04202084973825008,0.04202084973825008
month_September,0.04011118788847207,0.04011118788847207
hour_Nightlife,-0.039924855781362005,0.039924855781362005
hour_Evening Commute,-0.02995857246399135,0.02995857246399135
month_April,0.028582774489529745,0.028582774489529745
extra,0.024228576183308394,0.024228576183308394
month_May,0.024129999349240754,0.024129999349240754
month_June,0.019985494474588535,0.019985494474588535
month_March,0.018567461790715428,0.018567461790715428
month_November,0.015820399155004067,0.015820399155004067
month_July,0.015748867338523022,0.015748867338523022
month_February,0.015120369150892484,0.015120369150892484
month_August,0.014326731078025647,0.014326731078025647
speed_mph,-0.007047479518398472,0.007047479518398472
passenger_count,0.006581307444553325,0.006581307444553325
