model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.846392667247394,1.7805069005610636,-5.293113310411712e-05,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.9681,0.983791474010467,0.9681,1.0,0.9681
