feature,importance
duration_min,0.17130382303579778
speed_mph,0.16655694600045173
trip_distance,0.15690564739712573
fare_amount,0.1077472184686866
congestion_surcharge,0.05182092795778745
extra,0.04783922954883378
passenger_count,0.04006676596097963
hour_Airport Rush,0.021921131676714743
weekend,0.01727274610564608
borough_Queens,0.012285360510403673
hour_Nightlife,0.011761074011145572
tolls_amount,0.011257773454437224
month_July,0.011044017235743607
improvement_surcharge,0.010985593970196205
hour_Daytime,0.010815728703312643
borough_Manhattan,0.010347019083403132
hour_Evening Commute,0.010252413847822557
month_September,0.010048561910886869
airport_fee,0.009432163485560655
month_February,0.009284063343481915
month_December,0.009214077626281278
month_June,0.009013395571376535
month_March,0.008753915128750005
is_airport_trip,0.008522388993380724
month_April,0.008494420155042875
month_August,0.008451018247678865
month_November,0.008182676348170275
month_October,0.008112083335808219
month_May,0.008053564549068772
borough_Unknown,0.007058318942379993
mta_tax,0.006156468555565949
rate_code,0.0055300017532128355
borough_Brooklyn,0.005509323507470877
borough_Staten Island,1.415773952653354e-07
