year,target,sample_rows,train_rows,valid_rows,train_tip_share_pct,valid_tip_share_pct,outlier_method,outlier_cols_used_n,outlier_train_rows_removed,outlier_valid_rows_removed,best_reg_model,best_reg_rmse,best_reg_mae,best_reg_r2,naive_reg_rmse,best_reg_rmse_gain_vs_naive,best_cls_model,best_cls_roc_auc,best_cls_avg_precision,best_cls_f1,naive_cls_roc_auc,best_cls_auc_gain_vs_naive,opt_lgbm_tuned,opt_lgbm_trials,opt_rf_tuned,opt_rf_trials
2015,tip_amount,250000,200000,50000,96.514,96.514,winsor,6,0,0,optimized_lightgbm_regression,1.1078973325324837,0.5860152974284937,0.7482630997538076,2.208149400453402,1.1002520679209185,optimized_random_forest_classifier,0.596925031497605,0.9735717530853267,0.9822608058458939,0.5,0.09692503149760501,True,40,True,30
2016,tip_amount,250000,200000,50000,96.22800000000001,96.22800000000001,winsor,6,0,0,optimized_lightgbm_regression,1.1805817796570204,0.5702459034611193,0.727875337033927,2.263143671628904,1.0825618919718836,optimized_random_forest_classifier,0.5968679359568039,0.9706858993026983,0.9807774629512608,0.5,0.09686793595680387,True,40,True,30
2017,tip_amount,250000,200000,50000,95.905,95.904,winsor,6,0,0,optimized_lightgbm_regression,1.1238414656242197,0.5472763554393649,0.7526477970912251,2.2596823636407146,1.135840898016495,optimized_random_forest_classifier,0.5947709438360886,0.9679506958476208,0.9790918000653381,0.5,0.09477094383608864,True,40,True,30
2018,tip_amount,250000,200000,50000,95.4675,95.468,winsor,6,0,0,optimized_lightgbm_regression,1.2767796014192012,0.5491621157107481,0.7079811322771375,2.3627849980404405,1.0860053966212393,optimized_random_forest_classifier,0.6259301555312905,0.9680894140170392,0.8945406364391745,0.5,0.1259301555312905,True,40,True,30
2019,tip_amount,250000,200000,50000,96.646,96.646,winsor,6,0,0,optimized_lightgbm_regression,1.5439557330376572,0.6677146754782365,0.6438744180094853,2.5872485686875897,1.0432928356499325,optimized_random_forest_classifier,0.684600449585971,0.9799410059887328,0.9837313949463482,0.5,0.184600449585971,True,40,True,30
2020,tip_amount,250000,200000,50000,96.949,96.95,winsor,6,0,0,optimized_lightgbm_regression,1.6828760868042019,0.665655387668445,0.5311442805661306,2.457860844778811,0.7749847579746092,optimized_random_forest_classifier,0.6494952037132543,0.9803217353460518,0.9845138359989846,0.5,0.1494952037132543,True,40,True,30
2021,tip_amount,250000,200000,50000,96.6565,96.65599999999999,winsor,6,0,0,optimized_lightgbm_regression,1.5558546162565836,0.6899013772511673,0.6106662560726506,2.493545166599008,0.9376905503424244,optimized_random_forest_classifier,0.6406607591842505,0.9780695897789922,0.9831349811819754,0.5,0.14066075918425047,True,40,True,30
2022,tip_amount,250000,200000,50000,96.8105,96.81,winsor,6,0,0,optimized_lightgbm_regression,1.5898453942639892,0.7240274533069779,0.6880082217977088,2.846392667247394,1.2565472729834049,optimized_random_forest_classifier,0.6098283908725977,0.9764931609652981,0.983791474010467,0.5,0.10982839087259766,True,40,True,30
