cluster,dropoff_zone_name,count,rank,cluster_total,pct_within_cluster,pct_top_n_share
0,Midtown Center,120848,1,3001834,4.0258055575358265,11.634655190672866
0,Murray Hill,119179,2,3001834,3.9702062139345484,11.473972022451356
0,Union Sq,114238,3,3001834,3.8056068390190796,10.998276675427702
0,Upper East Side North,113010,4,3001834,3.7646985143082525,10.880050833261128
0,Upper East Side South,107015,5,3001834,3.564987271114925,10.30288151421502
0,East Village,102580,6,3001834,3.4172442580102698,9.875901375771404
0,Midtown East,101136,7,3001834,3.3691403322102422,9.736880108598331
0,Gramercy,88044,8,3001834,2.9330069550814604,8.476446292926667
0,Penn Station/Madison Sq West,87651,9,3001834,2.9199149586552755,8.438610172428733
0,Lincoln Square East,84989,10,3001834,2.8312358378244764,8.182325814246791
1,LaGuardia Airport,63233,1,328323,19.259387858907235,40.32253950439363
1,JFK Airport,43939,2,328323,13.382857734608908,28.019104949686895
1,Midtown East,8952,3,328323,2.726583273179156,5.708528357714037
1,Times Sq/Theatre District,8913,4,328323,2.7147047267477453,5.683658763662335
1,Murray Hill,6660,5,328323,2.028490236748568,4.246961445752401
1,Midtown Center,6630,6,328323,2.01935289333979,4.227830988789552
1,Midtown South,5346,7,328323,1.6282745954441205,3.40904743077963
1,Clinton East,4570,8,328323,1.3919219792704136,2.9142062773406114
1,Midtown North,4418,9,328323,1.3456261059992751,2.817278628728845
1,Unknown,4157,10,328323,1.2661312183429123,2.6508436531520614
2,Midtown Center,18733,1,506271,3.7001921895585563,11.748068432671081
2,Murray Hill,17730,2,506271,3.5020769508820373,11.11905478627333
2,Upper East Side North,17308,3,506271,3.4187223838616076,10.854404976921533
2,Union Sq,16963,4,506271,3.350577062482346,10.638044350792695
2,East Village,16670,5,506271,3.2927029199776405,10.454294601645595
2,Upper East Side South,15924,6,506271,3.1453510076619042,9.986453943407586
2,Midtown East,15886,7,506271,3.137845146176652,9.962622917920932
2,Penn Station/Madison Sq West,13471,8,506271,2.6608278965218233,8.448098535019065
2,Times Sq/Theatre District,13471,9,506271,2.6608278965218233,8.448098535019065
2,Clinton East,13300,10,506271,2.6270515198381896,8.340858920329119
3,Midtown Center,33328,1,1163572,2.864283430677259,12.444411254037302
3,Upper East Side North,28325,2,1163572,2.434314335511683,10.576330676026362
3,East Village,28200,3,1163572,2.4235715538015694,10.529656665982115
3,Midtown East,27306,4,1163572,2.346739179010839,10.19584414614566
3,TriBeCa/Civic Center,26716,5,1163572,2.296033249339104,9.975542818736814
3,Murray Hill,25730,6,1163572,2.21129418720973,9.607378227507795
3,Clinton East,25459,7,1163572,2.188003836462204,9.506188973731868
3,Times Sq/Theatre District,24805,8,1163572,2.131797602554891,9.261990553180368
3,Yorkville West,24469,9,1163572,2.1029210053181067,9.136530814181432
3,Upper East Side South,23477,10,1163572,2.0176662896666473,8.766125870470287
