cluster,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,Unknown
0,0.03,1.48,0.0,96.24,0.68,0.0,1.59
1,0.04,0.83,0.0,38.29,59.81,0.0,1.03
2,0.04,1.8,0.0,96.24,1.1,0.0,0.82
3,0.07,2.89,0.0,93.44,2.01,0.0,1.58
