cluster,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
0,Midtown Center,Murray Hill,Union Sq,Upper East Side North,Upper East Side South,East Village,Midtown East,Gramercy,Penn Station/Madison Sq West,Lincoln Square East
1,LaGuardia Airport,JFK Airport,Midtown East,Times Sq/Theatre District,Murray Hill,Midtown Center,Midtown South,Clinton East,Midtown North,Unknown
2,Midtown Center,Murray Hill,Upper East Side North,Union Sq,East Village,Upper East Side South,Midtown East,Penn Station/Madison Sq West,Times Sq/Theatre District,Clinton East
3,Midtown Center,Upper East Side North,East Village,Midtown East,TriBeCa/Civic Center,Murray Hill,Clinton East,Times Sq/Theatre District,Yorkville West,Upper East Side South
