cluster,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,Unknown
0,0.04,2.07,0.0,95.62,0.88,0.0,1.39
1,1.45,12.24,0.02,45.49,39.22,0.31,1.27
2,0.2,4.4,0.0,92.6,1.99,0.0,0.8
3,1.16,11.67,0.0,80.22,5.54,0.0,1.4
