cluster,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
0,Union Sq,Upper East Side South,Murray Hill,East Village,Midtown Center,Midtown East,Upper East Side North,Gramercy,Penn Station/Madison Sq West,Lincoln Square East
1,LaGuardia Airport,JFK Airport,Times Sq/Theatre District,Midtown East,Midtown Center,Murray Hill,Midtown South,Midtown North,Clinton East,UN/Turtle Bay South
2,East Village,Union Sq,Upper East Side South,Murray Hill,Midtown East,Upper East Side North,Midtown Center,Gramercy,Clinton East,Penn Station/Madison Sq West
3,East Village,Union Sq,TriBeCa/Civic Center,Clinton East,Penn Station/Madison Sq West,Upper East Side North,Midtown East,Murray Hill,Upper East Side South,East Chelsea
