cluster,fare_amount,tolls_amount,passenger_count,trip_distance,duration_min,speed_mph,tip_rate_pct,is_airport_trip_num
0,0.641,0.031,0.738,0.49,0.659,0.859,1.093,0.022
1,3.147,14.159,1.025,4.568,2.476,2.1,1.004,14.442
2,0.829,0.077,3.077,0.724,0.877,0.923,0.991,0.065
3,1.394,0.188,0.765,1.429,1.517,1.088,0.762,0.138
