feature,log_odds_coef,odds_ratio,abs_log_odds_coef
borough_Manhattan,0.9363680986727041,2.5507006819791433,0.9363680986727041
borough_Unknown,0.8598196905504951,2.362734631914659,0.8598196905504951
mta_tax,0.7912978626654146,2.206257988770579,0.7912978626654146
is_airport_trip,0.7106447419093171,2.035303080902335,0.7106447419093171
borough_Brooklyn,0.4873387598701891,1.6279780095963807,0.4873387598701891
hour_Daytime,0.44658726779787605,1.5629690784742638,0.44658726779787605
hour_Nightlife,0.3939515181566679,1.4828286566654179,0.3939515181566679
hour_Evening Commute,0.38067335615541203,1.463269559344044,0.38067335615541203
borough_Queens,0.3734216350440141,1.452696718568408,0.3734216350440141
improvement_surcharge,0.37048267834471543,1.4484335734832903,0.37048267834471543
hour_Airport Rush,-0.34253941274653393,0.7099651371581278,0.34253941274653393
rate_code,0.16212367748917297,1.1760056777566859,0.16212367748917297
weekend,-0.1476423271580226,0.8627396383018608,0.1476423271580226
month_July,-0.1402460330345075,0.8691443708640256,0.1402460330345075
month_August,-0.1359273205927372,0.8729060724792448,0.1359273205927372
month_November,-0.08561087165714316,0.9179513626232297,0.08561087165714316
passenger_count,-0.072362970437934,0.930193201894604,0.072362970437934
month_December,-0.06976020716427242,0.9326174280727851,0.06976020716427242
month_March,-0.06387146544058325,0.9381255733388595,0.06387146544058325
extra,0.06262428006851699,1.0646267625833337,0.06262428006851699
month_May,-0.06034620048544788,0.9414385506765206,0.06034620048544788
month_October,-0.05386932267726145,0.9475559224827468,0.05386932267726145
month_June,-0.0432355378515541,0.9576857922456912,0.0432355378515541
fare_amount,-0.04284802620435329,0.9580569785594101,0.04284802620435329
month_April,-0.038180503142808214,0.9625391838620633,0.038180503142808214
speed_mph,0.020366231080104116,1.020575037891147,0.020366231080104116
month_September,-0.019301034167925293,0.9808840381834543,0.019301034167925293
duration_min,0.016009492712710047,1.0161383312695644,0.016009492712710047
month_February,0.010610216542857724,1.0106667044967719,0.010610216542857724
tolls_amount,0.0004608431332939812,1.0004609493378047,0.0004608431332939812
