feature,log_odds_coef,odds_ratio
hour_Airport Rush,-0.34253941274653393,0.7099651371581278
weekend,-0.1476423271580226,0.8627396383018608
month_July,-0.1402460330345075,0.8691443708640256
month_August,-0.1359273205927372,0.8729060724792448
month_November,-0.08561087165714316,0.9179513626232297
passenger_count,-0.072362970437934,0.930193201894604
month_December,-0.06976020716427242,0.9326174280727851
month_March,-0.06387146544058325,0.9381255733388595
month_May,-0.06034620048544788,0.9414385506765206
month_October,-0.05386932267726145,0.9475559224827468
