feature,importance
trip_distance,0.18399366787959545
duration_min,0.14325975173724054
speed_mph,0.12489946659669042
fare_amount,0.12251430729712146
hour_Airport Rush,0.06340044203090729
passenger_count,0.0486231649513203
weekend,0.04185980432058321
borough_Manhattan,0.04048866058008971
borough_Queens,0.02784555257463929
is_airport_trip,0.02705209324363272
extra,0.02571119308907682
hour_Daytime,0.017617005824500365
borough_Brooklyn,0.014741008143329888
hour_Nightlife,0.014332736246176113
tolls_amount,0.013468675324717789
hour_Evening Commute,0.011526238821712559
borough_Unknown,0.00817302791874767
rate_code,0.0064175763928737495
month_February,0.006167913440445054
month_March,0.006145846636316946
month_April,0.006073525202206404
month_November,0.006008854193787158
month_May,0.005933258471121965
month_June,0.005931251809608691
month_July,0.005542387752833524
month_September,0.005412967592121229
month_August,0.0053964026104447805
month_October,0.005289178977741442
month_December,0.005101632663784324
improvement_surcharge,0.0010724076766332072
mta_tax,0.0
