model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.208149400453402,1.3930307986520984,-1.0947574742292687e-05,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.96514,0.9822608058458939,0.96514,1.0,0.96514
