feature,coef
borough_Queens,-0.46123122292994295
borough_Manhattan,-0.3330605070379374
borough_Unknown,-0.2888435643550669
borough_Brooklyn,-0.1828802351248083
improvement_surcharge,-0.1321400685925581
hour_Daytime,-0.048981111172971936
weekend,-0.044476486859022786
hour_Nightlife,-0.023583555093509536
mta_tax,-0.00529741846946046
hour_Evening Commute,-0.0009001663882821342
