feature,log_odds_coef,odds_ratio
borough_Unknown,3.2087086104317235,24.747107424114727
is_airport_trip,2.63234397460633,13.906327809021375
borough_Manhattan,2.3101486629859838,10.075922460396221
borough_Queens,1.7154960691607994,5.55943269153891
borough_Brooklyn,1.7111484741880278,5.535314994894596
congestion_surcharge,0.9031866143867971,2.4674534191259285
hour_Nightlife,0.42195421745630424,1.5249387075120777
hour_Evening Commute,0.28362859697723464,1.3279396383575859
rate_code,0.19553709015967172,1.2159638933807535
hour_Daytime,0.18404847172137623,1.202074088284464
