feature,importance
congestion_surcharge,0.16535660489693155
is_airport_trip,0.10266645565593052
duration_min,0.09861682050668612
trip_distance,0.09491948805298067
fare_amount,0.09048546766173327
speed_mph,0.07061565417702867
borough_Brooklyn,0.058899831636173496
borough_Manhattan,0.0587624767816738
borough_Queens,0.0328108839262816
borough_Unknown,0.0267293843847696
extra,0.024744786345078967
month_March,0.024481248693384243
hour_Daytime,0.014629360220349902
tolls_amount,0.013147514480627414
month_June,0.011125247728341508
month_February,0.010520392120182052
month_July,0.010428085970416397
hour_Nightlife,0.009978277181918916
passenger_count,0.009348995108047658
hour_Airport Rush,0.009328930798854494
month_December,0.008898920143264794
month_May,0.00870131493571404
month_April,0.007822475460476758
rate_code,0.007202480469237385
weekend,0.006980859365822489
hour_Evening Commute,0.006026982540295126
month_August,0.005885182388975311
month_October,0.004131534734660886
month_September,0.004030002217598155
month_November,0.0027243414165640683
mta_tax,0.0
improvement_surcharge,0.0
borough_Staten Island,0.0
