feature,coef,abs_coef
borough_Queens,-1.7833289642124517,1.7833289642124517
borough_Unknown,-1.6333704566602127,1.6333704566602127
borough_Manhattan,-1.6229446977897861,1.6229446977897861
borough_Brooklyn,-1.564844097560371,1.564844097560371
is_airport_trip,0.6433674482886614,0.6433674482886614
rate_code,-0.2137982779749188,0.2137982779749188
tolls_amount,0.18986020939971976,0.18986020939971976
fare_amount,0.18244428878085062,0.18244428878085062
congestion_surcharge,0.14111560308285884,0.14111560308285884
hour_Daytime,-0.12723076168667471,0.12723076168667471
month_December,0.07059039171331104,0.07059039171331104
weekend,-0.06005058388349707,0.06005058388349707
hour_Airport Rush,-0.0433399593296625,0.0433399593296625
month_April,0.04116776707253854,0.04116776707253854
month_November,0.03646827395193969,0.03646827395193969
month_October,0.03517847330394646,0.03517847330394646
month_August,0.029519003041630732,0.029519003041630732
month_July,0.02622790023531881,0.02622790023531881
month_March,0.022557210569687347,0.022557210569687347
month_September,0.017213688596858838,0.017213688596858838
hour_Nightlife,-0.014314766155645213,0.014314766155645213
hour_Evening Commute,-0.013226617867337106,0.013226617867337106
month_June,0.01253064949827584,0.01253064949827584
extra,-0.008993641078562827,0.008993641078562827
month_February,0.008242402056482502,0.008242402056482502
passenger_count,0.00617236870859818,0.00617236870859818
speed_mph,-0.005100383268130369,0.005100383268130369
month_May,0.004285007162020774,0.004285007162020774
