feature,coef
borough_Queens,-1.7833289642124517
borough_Unknown,-1.6333704566602127
borough_Manhattan,-1.6229446977897861
borough_Brooklyn,-1.564844097560371
rate_code,-0.2137982779749188
hour_Daytime,-0.12723076168667471
weekend,-0.06005058388349707
hour_Airport Rush,-0.0433399593296625
hour_Nightlife,-0.014314766155645213
hour_Evening Commute,-0.013226617867337106
