model,roc_auc,avg_precision,f1,precision,recall,accuracy,fit_seconds
optimized_random_forest_classifier,0.684600449585971,0.9799410059887328,0.9837313949463482,0.968158226960303,0.9998137532851851,0.96804,16.904083999921568
simple_logistic_regression,0.6509513211454461,0.9768318334609074,0.9836960395938776,0.9684003689297028,0.9994826480144031,0.96798,2.027521900017746
naive_majority_tip_classifier,0.5,0.96646,0.9829439703833284,0.96646,1.0,0.96646,0.0
