feature,log_odds_coef,odds_ratio
borough_Unknown,3.1180275010132905,22.601753709050552
borough_Manhattan,2.9225953076199382,18.5894703019783
is_airport_trip,2.019329358052202,7.533271111587235
borough_Queens,1.7872879487666862,5.973230771411558
borough_Brooklyn,1.6784344062513803,5.357162262519049
rate_code,0.7820065304216368,2.185853850384483
hour_Nightlife,0.4707063538154971,1.6011247544616303
hour_Evening Commute,0.3254330920390054,1.38463018845443
hour_Daytime,0.26243274950351597,1.3000890335955322
month_February,0.010008374572647274,1.010058625858089
