feature,importance
trip_distance,0.16049900854512997
fare_amount,0.1352814996726791
duration_min,0.11720680449994329
is_airport_trip,0.09539075186933814
speed_mph,0.09004734617070517
borough_Manhattan,0.07864375025809857
borough_Brooklyn,0.06296009056393229
borough_Queens,0.037205335554195244
hour_Airport Rush,0.03524145891912662
passenger_count,0.02141809171942871
borough_Unknown,0.019010270506525442
hour_Nightlife,0.018484511133717855
tolls_amount,0.018467577622453202
extra,0.01822215810489846
weekend,0.017529291093725828
rate_code,0.01566579260566202
hour_Daytime,0.009688455525695973
hour_Evening Commute,0.008544307871567286
month_February,0.005363419469871723
month_July,0.004887991405080291
month_October,0.004129282653788518
month_April,0.0036751538020794922
month_March,0.0035414646751637034
month_December,0.0035242359170104534
month_August,0.00333598374653507
month_May,0.0032849590665451575
month_June,0.0032623675135001516
month_November,0.0029566953950976487
month_September,0.0025319441185046388
improvement_surcharge,0.0
mta_tax,0.0
borough_Staten Island,0.0
