feature,coef
rate_code,-0.1439709008813518
hour_Evening Commute,-0.05170267498425763
month_September,-0.03991024725436017
hour_Daytime,-0.03582119633533528
month_May,-0.030545825551653614
hour_Nightlife,-0.02618043299362048
weekend,-0.02278583623230583
hour_Airport Rush,-0.018599667374015433
month_August,-0.01800187216350939
month_July,-0.0178334608285993
