model,rmse,mae,r2,fit_seconds
optimized_lightgbm_regression,1.2767796014192012,0.5491621157107481,0.7079811322771375,0.36430539994034916
simple_linear_regression,1.281656184328924,0.5417959407032177,0.7057461752605985,0.07269749999977648
naive_mean_tip_regression,2.3627849980404405,1.4149981872465969,-6.321058069458374e-05,0.0
