feature,log_odds_coef,odds_ratio
hour_Airport Rush,-0.36155083845259245,0.696595181354185
month_July,-0.27918806770148386,0.7563976358727342
month_August,-0.23607131863218256,0.7897243498639153
month_September,-0.20374222985197718,0.8156726001376304
month_November,-0.19148258278712063,0.8257340069662176
month_May,-0.18353329246273833,0.8323241651553659
month_March,-0.14619807662095835,0.8639865506980335
month_June,-0.13990259878957886,0.8694429160671561
weekend,-0.10026022284356463,0.9046019893033702
month_December,-0.0816570837091036,0.9215879320324376
