feature,coef,abs_coef
borough_Brooklyn,0.6610890406747785,0.6610890406747785
is_airport_trip,0.6134697367889712,0.6134697367889712
borough_Manhattan,0.521889514597116,0.521889514597116
borough_Unknown,0.5047778103934756,0.5047778103934756
borough_Queens,0.3380113907921935,0.3380113907921935
extra,0.20410773942403193,0.20410773942403193
tolls_amount,0.19961827826114534,0.19961827826114534
fare_amount,0.1791623284254786,0.1791623284254786
rate_code,-0.1439709008813518,0.1439709008813518
hour_Evening Commute,-0.05170267498425763,0.05170267498425763
month_September,-0.03991024725436017,0.03991024725436017
hour_Daytime,-0.03582119633533528,0.03582119633533528
month_May,-0.030545825551653614,0.030545825551653614
hour_Nightlife,-0.02618043299362048,0.02618043299362048
weekend,-0.02278583623230583,0.02278583623230583
month_December,0.020151427986226107,0.020151427986226107
hour_Airport Rush,-0.018599667374015433,0.018599667374015433
month_August,-0.01800187216350939,0.01800187216350939
month_July,-0.0178334608285993,0.0178334608285993
month_October,-0.013783529275061126,0.013783529275061126
month_June,-0.0108153858748318,0.0108153858748318
month_April,-0.0088170973752656,0.0088170973752656
passenger_count,0.008298954794104387,0.008298954794104387
speed_mph,-0.0035360301468592647,0.0035360301468592647
month_November,-0.002217268476124805,0.002217268476124805
month_February,0.0021548622674833597,0.0021548622674833597
month_March,0.0015200909351615727,0.0015200909351615727
