feature,log_odds_coef,odds_ratio,abs_log_odds_coef
borough_Unknown,3.1180275010132905,22.601753709050552,3.1180275010132905
borough_Manhattan,2.9225953076199382,18.5894703019783,2.9225953076199382
is_airport_trip,2.019329358052202,7.533271111587235,2.019329358052202
borough_Queens,1.7872879487666862,5.973230771411558,1.7872879487666862
borough_Brooklyn,1.6784344062513803,5.357162262519049,1.6784344062513803
rate_code,0.7820065304216368,2.185853850384483,0.7820065304216368
hour_Nightlife,0.4707063538154971,1.6011247544616303,0.4707063538154971
hour_Airport Rush,-0.36155083845259245,0.696595181354185,0.36155083845259245
hour_Evening Commute,0.3254330920390054,1.38463018845443,0.3254330920390054
month_July,-0.27918806770148386,0.7563976358727342,0.27918806770148386
hour_Daytime,0.26243274950351597,1.3000890335955322,0.26243274950351597
month_August,-0.23607131863218256,0.7897243498639153,0.23607131863218256
month_September,-0.20374222985197718,0.8156726001376304,0.20374222985197718
month_November,-0.19148258278712063,0.8257340069662176,0.19148258278712063
month_May,-0.18353329246273833,0.8323241651553659,0.18353329246273833
month_March,-0.14619807662095835,0.8639865506980335,0.14619807662095835
month_June,-0.13990259878957886,0.8694429160671561,0.13990259878957886
weekend,-0.10026022284356463,0.9046019893033702,0.10026022284356463
month_December,-0.0816570837091036,0.9215879320324376,0.0816570837091036
month_October,-0.07862758009905127,0.9243841193907669,0.07862758009905127
passenger_count,-0.062057903182991266,0.9398284661558839,0.062057903182991266
tolls_amount,-0.058385742146385616,0.9432860120777535,0.058385742146385616
month_April,-0.05034604033775132,0.95090031769478,0.05034604033775132
fare_amount,-0.03941993148939096,0.9613469245255244,0.03941993148939096
extra,-0.016381839606730356,0.9837516130009044,0.016381839606730356
month_February,0.010008374572647274,1.010058625858089,0.010008374572647274
speed_mph,0.0012800146051868536,1.0012808341735309,0.0012800146051868536
