model,fit_seconds,rmse,mae,r2,roc_auc,avg_precision,f1,precision,recall,accuracy
naive_mean_tip_regression,0.0,2.3627849980404405,1.4149981872465969,-6.321058069458374e-05,,,,,,
naive_majority_tip_classifier,0.0,,,,0.5,0.95468,0.9768146192727198,0.95468,1.0,0.95468
