cluster,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
0,Upper East Side South,Upper East Side North,Midtown Center,Midtown East,Lincoln Square East,Murray Hill,Penn Station/Madison Sq West,Upper West Side South,Union Sq,Lenox Hill West
1,JFK Airport,LaGuardia Airport,Times Sq/Theatre District,Midtown Center,Midtown East,Murray Hill,Midtown North,Midtown South,Penn Station/Madison Sq West,Clinton East
2,Upper East Side South,Upper East Side North,Midtown Center,Midtown East,Lincoln Square East,Upper West Side South,Union Sq,Murray Hill,Penn Station/Madison Sq West,Clinton East
3,Penn Station/Madison Sq West,Upper East Side North,Midtown Center,Midtown East,Upper East Side South,East Village,Union Sq,Lenox Hill East,Murray Hill,Clinton East
