cluster,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,Unknown
0,0.02,0.4,0.0,98.66,0.34,0.0,0.58
1,0.42,0.65,0.0,31.7,66.27,0.13,0.82
2,0.03,0.55,0.0,98.36,0.55,0.0,0.52
3,0.15,1.39,0.0,95.81,1.98,0.01,0.67
