cluster,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,Unknown
0,0.05,0.69,0.0,98.36,0.5,0.0,0.4
1,2.16,15.72,0.03,47.13,33.66,0.46,0.83
2,0.14,1.87,0.0,96.39,1.12,0.0,0.48
3,1.54,10.31,0.0,82.32,5.36,0.01,0.47
