cluster,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10
0,Upper East Side North,Upper East Side South,Midtown Center,Murray Hill,Lenox Hill West,Lincoln Square East,Upper West Side South,Midtown East,Union Sq,Upper West Side North
1,LaGuardia Airport,JFK Airport,Times Sq/Theatre District,Midtown East,Midtown Center,Murray Hill,Midtown South,Clinton East,Midtown North,East Chelsea
2,Upper East Side North,Upper East Side South,Midtown Center,Murray Hill,Upper West Side South,Lenox Hill West,Lincoln Square East,Midtown East,Union Sq,Upper West Side North
3,Upper East Side North,TriBeCa/Civic Center,Upper West Side North,Yorkville West,Lenox Hill East,Upper West Side South,Upper East Side South,Midtown Center,Battery Park City,East Village
