cluster,hour_Late Night,hour_Airport Rush,hour_Daytime,hour_Evening Commute,hour_Nightlife,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weekend,rush_hour,night_trip
0,4.09,1.47,44.63,33.16,16.65,15.99,12.91,13.31,10.62,16.33,14.83,16.02,0.78,3.7,6.04,26.39,26.48,2.81,1.81,12.38,1.01,6.32,6.99,5.29,23.93,34.68,12.42
1,4.01,3.7,38.6,32.52,21.17,15.22,15.47,10.85,15.11,15.6,13.32,14.44,0.37,2.85,3.33,31.47,33.94,2.29,1.68,13.47,0.63,3.27,3.59,3.11,25.96,29.98,17.22
2,5.42,1.75,40.57,33.07,19.19,15.86,12.07,15.69,12.03,15.52,13.73,15.09,0.49,3.12,5.28,28.69,28.98,2.23,1.39,12.7,0.7,5.44,6.27,4.71,27.72,32.92,15.47
3,6.17,2.06,39.8,31.55,20.43,16.52,11.83,13.66,10.47,16.86,14.52,16.14,0.78,3.56,5.38,27.43,25.96,2.8,1.94,13.33,1.02,5.94,6.7,5.18,24.13,32.85,17.7
