k,inertia,silhouette,calinski_harabasz,min_cluster_pct,max_cluster_pct,cluster_algo_used,fit_seconds,inertia_drop,inertia_drop_pct
2,23521269.60825694,0.7023845373324301,142073.01362998772,5.50054,94.49946,minibatch,49.87613470002543,,
3,19276298.433518827,0.2915624239943358,108849.77666225778,5.212,62.65442,minibatch,45.7341859000735,4244971.174738113,0.18047372635225234
4,15960748.392097967,0.3543868446731211,101441.70953229576,5.03144,66.29684,minibatch,46.9949850999983,3315550.04142086,0.17200138568386011
5,14151367.13610305,0.30049774042223926,92017.93048015668,2.19856,52.34468,minibatch,44.740890600020066,1809381.255994916,0.11336443702669516
6,12342038.90256754,0.25416770038022934,90281.93350790082,1.7973,38.66128,minibatch,41.75594570010435,1809328.2335355114,0.12785536663235475
7,11878725.493411822,0.23414287223288965,79515.63170808664,1.8022799999999999,35.41876,minibatch,41.62425940006506,463313.4091557171,0.0375394546082117
8,10637478.569489418,0.24670233317650564,79277.26141265173,1.83564,38.37372,minibatch,42.85552189999726,1241246.9239224046,0.10449327451929291
9,9966821.12190598,0.22357700553202076,75901.65931777746,1.6104,35.62324,minibatch,42.36815819994081,670657.447583437,0.06304665557748122
10,9092684.037638433,0.24924249087312955,76020.544582681,1.6097000000000001,32.45482,minibatch,41.689548299997114,874137.0842675474,0.08770470279097212
