cluster,fare_amount,tolls_amount,passenger_count,trip_distance,duration_min,speed_mph,tip_rate_pct,is_airport_trip_num
0,0.675,0.02,0.773,0.528,0.693,0.88,1.089,0.021
1,3.479,18.375,1.014,5.136,2.664,2.191,0.826,18.599
2,0.802,0.064,2.964,0.693,0.843,0.918,1.03,0.056
3,1.566,0.291,0.828,1.691,1.696,1.141,0.726,0.236
