cluster,dropoff_zone_name,count,rank,cluster_total,pct_within_cluster,pct_top_n_share
0,Upper East Side North,190804,1,3316182,5.753725217735335,14.974568097147436
0,Upper East Side South,175992,2,3316182,5.307066982451506,13.812101363457641
0,Midtown Center,138252,3,3316182,4.169011230384822,10.85021272387805
0,Murray Hill,124225,4,3316182,3.7460247959852624,9.749353901742836
0,Lenox Hill West,114645,5,3316182,3.457138359716083,8.99750193652894
0,Lincoln Square East,114477,6,3316182,3.4520722927752456,8.9843170586421
0,Upper West Side South,110500,7,3316182,3.3321452200150654,8.67219646723754
0,Midtown East,110350,8,3316182,3.327621945960747,8.660424254838576
0,Union Sq,101607,9,3316182,3.0639753789146673,7.974261234810903
0,Upper West Side North,93335,10,3316182,2.8145318923991507,7.325062961715981
1,LaGuardia Airport,37725,1,251582,14.995110937984435,37.80287392027577
1,JFK Airport,25783,2,251582,10.248348451002059,25.836222618594306
1,Times Sq/Theatre District,7240,3,251582,2.877789348999531,7.254945187085396
1,Midtown East,4791,4,251582,1.9043492777702695,4.800889833056096
1,Midtown Center,4785,5,251582,1.901964369469994,4.7948774475419365
1,Murray Hill,4415,6,251582,1.7548950242863162,4.424113674168788
1,Midtown South,4364,7,251582,1.7346233037339713,4.373008397298435
1,Clinton East,3946,8,251582,1.568474692148087,3.954145539812013
1,Midtown North,3572,9,251582,1.4198154080975587,3.579373509429425
1,East Chelsea,3173,10,251582,1.2612190061292143,3.17954987273784
2,Upper East Side North,24554,1,465789,5.2714855868215,15.098261062055734
2,Upper East Side South,21126,2,465789,4.53553003613224,12.990382959883906
2,Midtown Center,16737,3,465789,3.5932578914487037,10.291585704798683
2,Murray Hill,15683,4,465789,3.366975175454981,9.643480827409794
2,Upper West Side South,14923,5,465789,3.203811167717572,9.176156627395036
2,Lenox Hill West,14860,6,465789,3.1902857302340757,9.137417910814866
2,Lincoln Square East,14569,7,465789,3.1278110904293577,8.958481934230269
2,Midtown East,13620,8,465789,2.9240707702414612,8.374941584474998
2,Union Sq,13441,9,465789,2.885641352629624,8.26487443736626
2,Upper West Side North,13115,10,465789,2.81565258088963,8.064416951570456
3,Upper East Side North,32047,1,966447,3.315960419971297,14.017277200656098
3,TriBeCa/Civic Center,26480,2,966447,2.7399329709751283,11.58228540185894
3,Upper West Side North,24805,3,966447,2.566617724510501,10.849644614543466
3,Yorkville West,21634,4,966447,2.2385086818004507,9.46265718972116
3,Lenox Hill East,21446,5,966447,2.2190559854808387,9.38042646254784
3,Upper West Side South,21079,6,966447,2.181081838942022,9.219901585565884
3,Upper East Side South,20675,7,966447,2.1392792362126425,9.04319300164024
3,Midtown Center,20451,8,966447,2.116101555491403,8.9452159650082
3,Battery Park City,20362,9,966447,2.106892566276268,8.906287588846364
3,East Village,19646,10,966447,2.0328067653994477,8.59311098961181
